,Unnamed: 0,yearID,Rank,W,L,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,attendance,BPF,PPF,Playoff,WHIP,KBB,KAB,Bavg,Slug,OBP,OPS
1294,1294,2017,2,93,69,812,5525,1405,314,39,220,578.0,1456.0,103.0,30.0,54.0,27.0,659,586,3.66,2,11,43,4323,1309,171,516,1482,108,140,0.982,2134375.0,110,110,0,1.2664816099930605,2.8720930232558137,0.2635294117647059,0.25429864253393664,0.4447058823529412,0.32939844760672704,0.7741043299596682
1295,1295,2017,3,72,90,732,5584,1467,289,26,165,474.0,1184.0,77.0,31.0,66.0,32.0,821,756,4.72,0,6,36,4324,1463,192,584,1258,97,137,0.984,2505252.0,98,98,0,1.4202127659574468,2.154109589041096,0.21203438395415472,0.26271489971346706,0.4124283667621777,0.3260233918128655,0.7384517585750432
1296,1296,2017,5,75,87,743,5650,1469,269,12,232,392.0,1412.0,32.0,13.0,50.0,37.0,841,795,4.97,1,10,35,4323,1505,242,579,1233,94,175,0.984,2028424.0,98,99,0,1.446217904233171,2.1295336787564767,0.2499115044247788,0.26,0.4350442477876105,0.31179637787567305,0.7468406256632837
1297,1297,2017,1,93,69,785,5669,1461,302,19,168,571.0,1224.0,106.0,31.0,53.0,36.0,668,610,3.7,5,11,39,4447,1384,195,465,1580,107,126,0.982,2917678.0,105,104,1,1.2473577692826625,3.3978494623655915,0.215911095431293,0.2577174104780385,0.40659728347151175,0.32943592984673725,0.736033213318249
1298,1298,2017,4,67,95,706,5513,1412,256,37,186,401.0,1397.0,71.0,31.0,76.0,33.0,820,755,4.78,0,3,25,4265,1384,242,632,1193,114,157,0.981,1629470.0,98,98,0,1.4180539273153574,1.8876582278481011,0.25340105205877017,0.2561218937057863,0.417195719209142,0.3136310808567159,0.7308268000658579
1299,1299,2017,1,92,70,822,5496,1402,274,29,223,622.0,1401.0,62.0,31.0,82.0,32.0,695,636,3.95,2,8,38,4342,1294,194,554,1439,95,139,0.984,3199562.0,102,100,1,1.27683095347766,2.5974729241877257,0.2549126637554585,0.2550946142649199,0.4372270742358079,0.3379332477535302,0.7751603219893379
1300,1300,2017,5,68,94,753,5484,1390,249,38,219,565.0,1329.0,120.0,39.0,72.0,42.0,869,821,5.17,2,8,33,4290,1442,248,631,1300,81,132,0.986,1836917.0,100,101,0,1.4496503496503497,2.060221870047544,0.24234135667396065,0.2534646243617797,0.4325309992706054,0.3288982638325491,0.7614292631031545
1301,1301,2017,1,102,60,818,5511,1449,333,29,212,604.0,1153.0,88.0,23.0,50.0,45.0,564,529,3.3,7,19,37,4322,1267,163,406,1614,76,167,0.987,2048138.0,106,104,1,1.1612679315131882,3.975369458128079,0.20921792778080206,0.26292868807838865,0.4492832516784613,0.3386473429951691,0.7879305946736304
1302,1302,2017,3,87,75,824,5534,1510,293,38,192,519.0,1408.0,59.0,34.0,44.0,41.0,757,721,4.51,1,9,47,4313,1453,190,532,1270,77,168,0.987,2953650.0,115,115,0,1.3807094829584976,2.387218045112782,0.2544271774485002,0.2728586917238887,0.4436212504517528,0.33773216031280545,0.7813534107645583
1303,1303,2017,5,64,98,735,5556,1435,289,35,187,503.0,1313.0,65.0,34.0,52.0,27.0,894,846,5.36,2,4,32,4261,1587,218,538,1202,84,146,0.985,2321599.0,103,104,0,1.496127669561136,2.234200743494424,0.23632109431245504,0.2582793376529878,0.42386609071274295,0.3242098403388726,0.7480759310516156
1304,1304,2017,1,101,61,896,5611,1581,346,20,238,509.0,1087.0,98.0,42.0,70.0,61.0,700,662,4.12,1,9,45,4338,1314,192,522,1593,99,153,0.983,2403671.0,91,90,1,1.2697095435684649,3.0517241379310347,0.19372660844769204,0.281767955801105,0.4778114418107289,0.3455447128459446,0.8233561546566736
1305,1305,2017,3,80,82,702,5536,1436,260,24,193,390.0,1166.0,91.0,31.0,45.0,37.0,791,737,4.61,1,6,39,4313,1480,196,519,1216,79,145,0.987,2220370.0,102,102,0,1.3904474843496406,2.3429672447013488,0.21062138728323695,0.25939306358381503,0.4196170520231214,0.31141810918774965,0.7310351612108711
